Ciudad,Salida,Puesta,Duración,Fecha
Tokio,6.6097,17.2081,10.5983,2024-02-05
Tokio,6.5006,17.3272,10.8267,2024-02-12
Tokio,6.3744,17.4428,11.0683,2024-02-19
Tokio,6.2339,17.5539,11.32,2024-02-26
Tokio,6.0825,17.6608,11.5783,2024-03-04
Tokio,5.9231,17.7636,11.8406,2024-03-11
Tokio,5.7586,17.8631,12.1044,2024-03-18
Tokio,5.5917,17.9606,12.3689,2024-03-25
Tokio,5.4253,18.0569,12.6317,2024-04-01
Tokio,5.2622,18.1531,12.8908,2024-04-08
Tokio,5.105,18.2497,13.1447,2024-04-15
Tokio,4.9569,18.3472,13.3903,2024-04-22
Tokio,4.8206,18.4453,13.6247,2024-04-29
Tokio,4.6986,18.5431,13.8444,2024-05-06
Tokio,4.5936,18.6394,14.0458,2024-05-13
Tokio,4.5078,18.7319,14.2242,2024-05-20
Tokio,4.4431,18.8175,14.3744,2024-05-27
Tokio,4.4008,18.8936,14.4928,2024-06-03
Tokio,4.3817,18.9561,14.5744,2024-06-10
Tokio,4.385,19.0019,14.6169,2024-06-17
Tokio,4.4097,19.0278,14.6181,2024-06-24
Tokio,4.4533,19.0319,14.5786,2024-07-01
Tokio,4.5128,19.0131,14.5003,2024-07-08
Tokio,4.585,18.9703,14.3853,2024-07-15
Tokio,4.6664,18.9047,14.2383,2024-07-22
Tokio,4.7536,18.8175,14.0639,2024-07-29
Tokio,4.8439,18.7108,13.8669,2024-08-05
Tokio,4.9356,18.5867,13.6511,2024-08-12
Tokio,5.0267,18.4481,13.4214,2024-08-19
Tokio,5.1169,18.2972,13.1803,2024-08-26
Tokio,5.2058,18.1372,12.9314,2024-09-02
Tokio,5.2936,17.9706,12.6769,2024-09-09
Tokio,5.3814,17.8,12.4186,2024-09-16
Tokio,5.47,17.6283,12.1583,2024-09-23
Tokio,5.5606,17.4586,11.8981,2024-09-30
Tokio,5.6542,17.2933,11.6392,2024-10-07
Tokio,5.7519,17.135,11.3831,2024-10-14
Tokio,5.8539,16.9872,11.1333,2024-10-21
Tokio,5.9608,16.8528,10.8919,2024-10-28
Tokio,6.0722,16.7344,10.6622,2024-11-04
Tokio,6.1867,16.6356,10.4489,2024-11-11
Tokio,6.3022,16.5583,10.2561,2024-11-18
Tokio,6.4156,16.5058,10.0903,2024-11-25
Tokio,6.5231,16.4794,9.9564,2024-12-02
Tokio,6.6203,16.4797,9.8594,2024-12-09
Tokio,6.7028,16.5069,9.8042,2024-12-16
Tokio,6.7661,16.5589,9.7928,2024-12-23
Tokio,6.8067,16.6328,9.8261,2024-12-30
Oslo,9.2544,15.4214,6.1669,2024-01-01
Oslo,9.1706,15.6106,6.44,2024-01-08
Oslo,9.025,15.8478,6.8228,2024-01-15
Oslo,8.8278,16.1186,7.2908,2024-01-22
Oslo,8.5892,16.41,7.8208,2024-01-29
Oslo,8.3183,16.7114,8.3931,2024-02-05
Oslo,8.0225,17.0161,8.9936,2024-02-12
Oslo,7.7081,17.3189,9.6108,2024-02-19
Oslo,7.3794,17.6175,10.2381,2024-02-26
Oslo,7.0406,17.9111,10.8706,2024-03-04
Oslo,6.6942,18.2003,11.5061,2024-03-11
Oslo,6.3433,18.4858,12.1425,2024-03-18
Oslo,5.99,18.7694,12.7794,2024-03-25
Oslo,6.6367,20.0528,13.4161,2024-04-01
Oslo,6.2853,20.3375,14.0522,2024-04-08
Oslo,5.9389,20.6239,14.685,2024-04-15
Oslo,5.5997,20.9131,15.3133,2024-04-22
Oslo,5.2717,21.2033,15.9317,2024-04-29
Oslo,4.9589,21.4928,16.5339,2024-05-06
Oslo,4.6672,21.7767,17.1094,2024-05-13
Oslo,4.4033,22.0478,17.6444,2024-05-20
Oslo,4.1769,22.2961,18.1192,2024-05-27
Oslo,3.9986,22.5086,18.51,2024-06-03
Oslo,3.8803,22.6708,18.7906,2024-06-10
Oslo,3.8317,22.7686,18.9369,2024-06-17
Oslo,3.8583,22.7928,18.9344,2024-06-24
Oslo,3.9572,22.7414,18.7842,2024-07-01
Oslo,4.1186,22.6197,18.5011,2024-07-08
Oslo,4.3286,22.4386,18.11,2024-07-15
Oslo,4.5725,22.21,17.6375,2024-07-22
Oslo,4.8375,21.9442,17.1067,2024-07-29
Oslo,5.1139,21.6506,16.5367,2024-08-05
Oslo,5.3947,21.3364,15.9417,2024-08-12
Oslo,5.6758,21.0069,15.3311,2024-08-19
Oslo,5.955,20.6667,14.7117,2024-08-26
Oslo,6.2311,20.3186,14.0875,2024-09-02
Oslo,6.5047,19.9661,13.4614,2024-09-09
Oslo,6.7769,19.6114,12.8344,2024-09-16
Oslo,7.0489,19.2564,12.2075,2024-09-23
Oslo,7.3231,18.9033,11.5803,2024-09-30
Oslo,7.6003,18.5544,10.9542,2024-10-07
Oslo,7.8825,18.2125,10.33,2024-10-14
Oslo,8.17,17.8803,9.7103,2024-10-21
Oslo,7.4622,16.5614,9.0992,2024-10-28
Oslo,7.7578,16.26,8.5022,2024-11-04
Oslo,8.0522,15.9822,7.93,2024-11-11
Oslo,8.3397,15.7344,7.3947,2024-11-18
Oslo,8.61,15.5258,6.9158,2024-11-25
Oslo,8.8517,15.3664,6.5147,2024-12-02
Oslo,9.0497,15.2667,6.2169,2024-12-09
Oslo,9.1906,15.2358,6.0453,2024-12-16
Oslo,9.2631,15.2789,6.0158,2024-12-23
Oslo,9.2622,15.3939,6.1317,2024-12-30
